source_type,model,week,cumulative_activation,source
PC NB,HT7407NA,W2607,0,seed
PC NB,HT7407NA,W2608,0,seed
PC NB,HT7407NA,W2609,0,seed
PC NB,HT7407NA,W2610,0,seed
PC NB,HT7407NA,W2611,0,seed
PC NB,HT7407NA,W2612,0,seed
PC NB,HT7407NA,W2613,0,seed
PC NB,HT7407NA,W2614,0,seed
PC NB,HT7407NA,W2615,0,seed
PC NB,HT7407NA,W2616,0,seed
PC NB,HT7407NA,W2617,0,seed
PC NB,HT7407NA,W2618,0,seed
PC NB,HT7407NA,W2619,0,seed
PC NB,HT7407NA,W2620,27,seed
PC NB,HT7407NA,W2621,54,seed
PC NB,HT7407NA,W2622,83,seed
PC NB,HT7407NA,W2623,112,seed
PC NB,HT7407NA,W2624,144,seed
PC NB,HT7407NA,W2625,193,seed
PC NB,HT7407NA,W2626,249,seed
PC NB,M1407GA,W2601,0,seed
PC NB,M1407GA,W2602,0,seed
PC NB,M1407GA,W2603,0,seed
PC NB,M1407GA,W2604,0,seed
PC NB,M1407GA,W2605,0,seed
PC NB,M1407GA,W2606,0,seed
PC NB,M1407GA,W2607,0,seed
PC NB,M1407GA,W2608,0,seed
PC NB,M1407GA,W2609,0,seed
PC NB,M1407GA,W2610,0,seed
PC NB,M1407GA,W2611,0,seed
PC NB,M1407GA,W2612,0,seed
PC NB,M1407GA,W2613,0,seed
PC NB,M1407GA,W2614,0,seed
PC NB,M1407GA,W2615,0,seed
PC NB,M1407GA,W2616,0,seed
PC NB,M1407GA,W2617,0,seed
PC NB,M1407GA,W2618,0,seed
PC NB,M1407GA,W2619,0,seed
PC NB,M1407GA,W2620,0,seed
PC NB,M1407GA,W2621,0,seed
PC NB,M1407GA,W2622,0,seed
PC NB,M1407GA,W2623,387,seed
PC NB,M1407GA,W2624,425,seed
PC NB,M1407GA,W2625,462,seed
PC NB,M1407GA,W2626,500,seed
PC NB,M1607GA,W2601,0,seed
PC NB,M1607GA,W2602,0,seed
PC NB,M1607GA,W2603,0,seed
PC NB,M1607GA,W2604,0,seed
PC NB,M1607GA,W2605,0,seed
PC NB,M1607GA,W2606,0,seed
PC NB,M1607GA,W2607,0,seed
PC NB,M1607GA,W2608,0,seed
PC NB,M1607GA,W2609,0,seed
PC NB,M1607GA,W2610,0,seed
PC NB,M1607GA,W2611,0,seed
PC NB,M1607GA,W2612,0,seed
PC NB,M1607GA,W2613,0,seed
PC NB,M1607GA,W2614,0,seed
PC NB,M1607GA,W2615,0,seed
PC NB,M1607GA,W2616,0,seed
PC NB,M1607GA,W2617,0,seed
PC NB,M1607GA,W2618,483,seed
PC NB,M1607GA,W2619,571,seed
PC NB,M1607GA,W2620,666,seed
PC NB,M1607GA,W2621,765,seed
PC NB,M1607GA,W2622,895,seed
PC NB,M1607GA,W2623,1071,seed
PC NB,M1607GA,W2624,1321,seed
PC NB,M1607GA,W2625,1522,seed
PC NB,M1607GA,W2626,1741,seed
PC NB,M1807GA,W2601,0,seed
PC NB,M1807GA,W2602,0,seed
PC NB,M1807GA,W2603,0,seed
PC NB,M1807GA,W2604,0,seed
PC NB,M1807GA,W2605,0,seed
PC NB,M1807GA,W2606,0,seed
PC NB,M1807GA,W2607,0,seed
PC NB,M1807GA,W2608,0,seed
PC NB,M1807GA,W2609,0,seed
PC NB,M1807GA,W2610,0,seed
PC NB,M1807GA,W2611,363,seed
PC NB,M1807GA,W2612,478,seed
PC NB,M1807GA,W2613,657,seed
PC NB,M1807GA,W2614,837,seed
PC NB,M1807GA,W2615,1048,seed
PC NB,M1807GA,W2616,1325,seed
PC NB,M1807GA,W2617,1588,seed
PC NB,M1807GA,W2618,1844,seed
